objectid,temp sort,Note,Christin Newell,title,title,series,date_first_issued,date,date_text,creator,signature,seal,description,misc,publisher,carver,printer,Author (cew new),Editor (cew new),publication_date_messy,impression_quality,colors,condition,genre,format_print,size_image,size_sheet,lit//ref lit,collections,catalog,catalog_altform,catalog_2_orig_ref,location,latitude,longitude,type,format,filename,image_thumb,image_small,artistid (temporarily using for notes-cew),print_link,Notes
ihl-1921,,,,Mat Making in Bingo Province (備後國 疊表ヲ製圖),Mat Making in Bingo Province (備後國 疊表ヲ製圖),Products of Greater Japan (大日本物産図会 Dai Nippon Bussan Zue),1877,1877,1877 (Meiji 10),Utagawa Hiroshige III 三代 歌川広重 (1842–1894),"No signature, likely trimmed from this", ,"One of 118 prints in the series Dai Nippon Bussan Zue (Products of Greater Japan), issued in August 1877 to coincide with the opening of Japan’s first National Industrial Exposition (Naikoku Kangyō Hakurankai) held in Tokyo’s Ueno Park. It depicts the making of tatami mats 畳表 in Bingo Province (備後国, Bingo no kuni) which is now part of Hiroshima Prefecture.
This crêped version of the print was made by the chirimen process, resulting in a cloth-like, smaller dimensioned, irregularly shaped print. See IHL Cat. #540 for the non-crêped version of the print. See IHL Cat. #461 for the non-crêped version of the print.",,Ōkura Magobei 大倉孫兵衛 (Kin'eido; 1843-1921) [Marks: pub. ref. 627].,,,,,1877 (Meiji 10),Impression excellent,Colors excellent,"Condition good - margins trimmed almost to image, normal misshapen size due to chirimen process.",Genre nishiki-e; kaika-e,Format horizontal chūban,H x W Image 4 7/8 x 7 in. ( 12.4 x 17.8 cm) - irregularly shaped,H x W Paper 5 1/8 x 7 1/8 in. (13 x 18.1 cm) - irregularly shaped,"Literature Ukiyo-e Work Scenes: Dai Nippon Bussan Zue: Products of Greater Japan, ed. Hashizume Setsuya, et. al., Kyōto-shi, 2019",Collections This Print,IHL.1921,IHL.1921,"IHL Catalog #461, #1921",,,,Image;StillImage,image/jpeg,ihl-1921.jpg,ihl-1921_th.jpg,ihl-1921_sm.jpg,ihl_artist_207,https://www.myjapanesehanga.com/home/artists/utagawa-hiroshige-iii-1842-1894/mat-making-in-bingo-province-from-a75d618120d75e42.html,
ihl-1943,,,CN Complete,The Glory of the Imperial Flowers (花の都御代乃榮 Hana no miyako goyo no sakae),The Glory of the Imperial Flowers (花の都御代乃榮 Hana no miyako goyo no sakae), ,1880-07,1880,July 1880 (Meiji 13) - as printed in Japanese within date seal,Nagashima Shungyō 永嶌春暁(active 1870-1905),永嶌孟斎 Nagashima Mōsai,unread diamond-shaped seal beneath signature,"This scene of courtly ladies and imperial regalia first appears as if it’s out of the Heian era (794-1185), when court ladies painted eyebrows high up on their foreheads after shaving their real eyebrows. But, these lady’s eyebrows are not shaved, suggesting an elaborate dress-up, and who is the man sitting high-up in the left panel?  Could it be Emperor Meiji? Donald Keene tell us that in June of 1880 the emperor embarked on a journey to understand the local conditions of his subjects. Included in his journey was a stop in Kyoto in July, when this print was issued. While in Kyoto he visited his aunt, Princess Sumiko, who had arranged a program of plays for his entertainment.  “The performance was attended also by members of the nobility still living in the old capital, a momentary revival of their former glory.”
While the artist would certainly not have attended the performance details of the emperor’s journey were widely reported allowing Nakashima to construct this scene using his artistic license.", ,出版人 児玉又七 Kodama Matashichi. [Marks: pub. ref. 260; seal 26-135] , , ,,,July 1880 (Meiji 13),Impression excellent,Colors excellent,"Condition good - almost full-size separate sheets; unbacked; light wrinkling, minor offsetting and toning",Genre nishiki-e,Format vertical ōban triptych,H x W Image 14 3/16 x 9 1/2 in. (36 x 24.1 cm) each sheet,H x W Paper 14 1/2 x 9 7/8 in. (36.8 x 25.1 cm) each sheet, , ,IHL.1943,IHL.1943,IHL Catalog #1943,,,,Image;StillImage,image/jpeg,ihl-1943.jpg,ihl-1943_th.jpg,ihl-1943_sm.jpg,ihl_artist_119,https://pages.uoregon.edu/jsmacollections/home/artists/nagashima-shungyo-active-1882-1905/the-glory-of-the-imperial-flowers-363f9687dc12973a.html,
ihl-1944,,,,Index,Index,Thirty Subjects of Kyoto (京洛三十題 Kyōraku sanjūdai),1936,1936,1936,Tokuriki Tomikichirō 徳力富吉郎 (1902-2000), no,no seal,"This print, mounted on its original stiff board, serves as the index to the portfolio of thirty prints titled Thirty Subjects of Kyoto published by the Uchida Art Store (Uchida Woodblock Printing Company) in 1936.","Also seen translated as ""Thirty Views of Kyoto"" and ""Thirty Aspects of Kyoto""",Uchida bijutsu shoshi 内田美術書肆,,,,,1936,Impression excellent,Colors good,Condition fair - overall toning; diagonal crease in backing board not visible from fron,Genre shin hanga,Format shikishiban,,H x W Paper 10 3/4 x 9 1/2 in. (27.3 x 24.1 cm),Reference Literature,Collections This Print,IHL.1944,IHL.1944,IHL Catalog #1944,,,,Image;StillImage,image/jpeg,ihl-1944.jpg,ihl-1944_th.jpg,ihl-1944_sm.jpg,ihl_artist_188,https://www.myjapanesehanga.com/home/artists/tokuriki-tomikichiro-1902-1999/index-for-the-series-thirty-views-of-kyoto.html,
ihl-1945,,,,Shipping New Brew Sake in Settsu Province (同 [摂津国] 新酒荷出之図),Shipping New Brew Sake in Settsu Province (同 [摂津国] 新酒荷出之図),Products of Greater Japan (大日本物産図会 Dai Nippon Bussan Zue),1877,1877,1877 (Meiji 10),Utagawa Hiroshige III 三代 歌川広重 (1842–1894),安藤徳兵エ Andō Tokubei - artist's family name appearing in cartouche in the left margin. Full cartouche reads 画工 大鋸町四番地  (gakō Ōga machi yon banchi Andō Tokubei), ,"One of 118 prints in the series Dai Nippon Bussan Zue (Products of Greater Japan), issued in August 1877 to coincide with the opening of Japan’s first National Industrial Exposition (Naikoku Kangyō Hakurankai) held in Tokyo’s Ueno Park. It depicts laborers moving vats of sake in preparation for loading onto boats in Osaka Bay. The Cambridge History of Japan notes in discussing the governments 1874 survey of physical production in Japan that ""The value of sake produced was astonishingly large, more than the value of all silk and cotton textiles and three times value of raw silk output.""
This crêped version of the print was made by the chirimen process, resulting in a cloth-like, smaller dimensioned, irregularly shaped print. See IHL Cat. #540 for the non-crêped version of the print. ",,Ōkura Magobei 大倉孫兵衛 (Kin'eido; 1843-1921) [Marks: pub. ref. 627].,,,,,1877 (Meiji 10),Impression excellent,Colors excellent,"Condition good - margins trimmed almost to image, normal misshapen size due to chirimen process.",Genre nishiki-e; kaika-e,Format horizontal chūban,H x W Image 4 15/16 x 7 3/16 in. ( 12.5 x 18.3 cm),H x W Paper 5 1/2 x 7 9/16 in. (14 x 19.2 cm),"Literature Ukiyo-e Work Scenes: Dai Nippon Bussan Zue: Products of Greater Japan, ed. Hashizume Setsuya, et. al., Kyōto-shi, 2019",Collections This Print,IHL.1945,IHL.1945,IHL Catalog #1945,,,,Image;StillImage,image/jpeg,ihl-1945.jpg,ihl-1945_th.jpg,ihl-1945_sm.jpg,ihl_artist_207,https://www.myjapanesehanga.com/home/artists/utagawa-hiroshige-iii-1842-1894/sake-brewing-at-itami-in-settsu-p-dd78ed851831f681.html,
ihl-1950,,,,Illustration of a Scouting Patrol in a Skirmish in the Vicinity of Port Arthur (旅順口附近我斥候進撃之図 Ryojunkō fukin waga sekkō shingeki no zu),Illustration of a Scouting Patrol in a Skirmish in the Vicinity of Port Arthur (旅順口附近我斥候進撃之図 Ryojunkō fukin waga sekkō shingeki no zu),,1894-09-29,1894,"September 29, 1894 (Meiji 27) - 明治廿七年廿九月 as printed within publisher seal",Utagawa Kokunimasa 歌川小国政 (1874-1944),梅堂 小国政 Baidō Kokunimasa ,,"Port Arthur fell on November 21, 1894. Prior to its capture there were major engagements on the Liaotung (Chinchou) Peninsula where the Port Arthur forts were located. This print, from the artist's imagination, depicts a skirmish between a Japanese Army scouting party (likely a part of the Second Army) and Chinese troops. As usual, the casualties are all Chinese.

The print is a wonderful composition of movement. Kokunimasa was one of the more talented artists of the later years of the Meiji Era.",,"長谷川園吉 Hasegawa Sonokichi [Marks: 30-046, ref. 071]",,,,,"Pub. Date September 29, 1894 (Meiji 27) 明治廿七年廿九月",,Colors excellent,Condition good - backing paper; three sheets attached; minor loss where sheets are attached,"Genre nishiki-e, senso-e",Format vertical ōban triptych,H x W Image 14 1/8 x 27 1/4 in. (35.9 x 69.2 cm),H x W Paper 14 5/16 x 27 1/2 in. (36.4 x 69.9 cm),Literature,Collections This Print British Library Shelfmark 16126.d.2(66),IHL.1950,IHL.1950,IHL Catalog #1950,,,,Image;StillImage,image/jpeg,ihl-1950.jpg,ihl-1950_th.jpg,ihl-1950_sm.jpg,ihl_artist_208,https://www.myjapanesehanga.com/home/artists/utagawa-kokunimasa-1874---1944-/illustration-of-a-scouting-patrol-9b254a9a3796d5fe.html,
ihl-1962,,,CN Complete,Miyajima in Rain (雨の宮島),Miyajima in Rain (雨の宮島),Three Subjects of Setouchi (瀬戸内三題),1935,1935,1935,"Ogyū Tensen 荻生天泉
(1882-1947)", 天泉 絵 Tense-e,unread artist's seal,"The artist's rendering of Itsukushima on Miyajima with Gojunoto (the Five-storied Pagoda) in the background and the famous Sika deer in the foreground during a gentle rain. The print was included in a portfolio titled 瀬戸内三題 (Three Subjects of Setouchi), issued by Watanabe Publishing in 1935, which included three woodblock prints designed by Ogyū.",,Watanabe Publishing,,,,,,Impression excellent,Colors excellent,Condition excellent,Genre shin hanga,,H x W Image 9 1/2 x 10 3/4 in. (24.1 x 27.3 cm),H x W Paper 10 1/16 x 12 in. (25.6 x 30.5 cm),,Collections This Print Nihonmatsu City Board of Education Museum Collections 003,IHL.1962,IHL.1962,IHL Catalog #1962,,,,Image;StillImage,image/jpeg,ihl-1962.jpg,ihl-1962_th.jpg,ihl-1962_sm.jpg,ihl_artist_134,https://pages.uoregon.edu/jsmacollections/home/artists/ogyu-tensen-1882-1947/itsukushima.html,
ihl-1974,,,CN Complete,Kagoshima Shinbun: Illustration of the Battle of Yamagaguchi (鹿兒嶋新聞 山鹿口戰之圖 Kagoshima Shinbun: Yamagaguchi sensōno zu),Kagoshima Shinbun: Illustration of the Battle of Yamagaguchi (鹿兒嶋新聞 山鹿口戰之圖 Kagoshima Shinbun: Yamagaguchi sensōno zu), ,1877-03-26,1877,"March 26, 1877 (Meiji 11) - date seal reading 明治十年三月廿六日御届",Adachi Ginkō 安達吟光 (active 1873-1902),依頼随 眞匠銀光画 irai shitagai Shinshō Ginkō ga,unread square artist seal beneath signature,"At least a dozen woodblock triptychs depicting various battles during the Satsuma Rebellion, issued by various publishers using the drawings of various artists, carry a cartouche reading ""Kagoshima shinbun"" (Kagoshinma Newspaper) accompanied by the title of the battle being depicted and a descriptive scroll.  While an actual newspaper called the Kagoshima shinbun would come into existence in the late 1880s, it had no relationship to these earlier prints and their publishers.

In this print by Adachi, one of several prints of the rebellion he designed, the battle of Yamagaguchi is depicted. The engagement being referenced is most likely the March 12 battle in the Nabeta-Yamaga area, about 30km due north of Kagoshima Castle.

",價六銭 price 6 sen,"Kobayashi Tsunekichi 小林常吉 [Marks:pub. ref. 259, seal not shown] ", , ,,,"March 26, 1877 (Meiji 11) 明治十年三月廿六日御届",Impression excellent,Colors excellent,Condition fair - numerous wormholes throughout,"Genre nishiki-e, sensō-e",Format vertical ōban triptych,"H x W Image R: 14 1/8 x 9 1/8 in.(34.9 x 23.5 cm), C: 14 1/8 x 9 7/16 in. (34.9 x 24 cm), L: 14 1/16 x 9 3/8 in. (35.7 x 23.8 cm)","H x W Paper R: 14 5/16 x 9 3/4 in.(34.9 x 23.5 cm), C: 14 3/8 x 9 5/8 in. (36.5 x 24.4 cm), L: 14 1/8 x 9 5/8 in. (35.9 x 24.4)", , ,IHL.1974,IHL.1974,IHL Catalog #1974,,,,Image;StillImage,image/jpeg,ihl-1974.jpg,ihl-1974_th.jpg,ihl-1974_sm.jpg,ihl_artist_001,https://pages.uoregon.edu/jsmacollections/home/artists/adachi-ginko-active-1874-1897-/kagoshima-shinbun-the-battle-of-yamagaguchi.html,
ihl-1978,,,,Illustration of [The Emperor’s Carriage] Departing the Imperial Palace [over] Nijūbashi (宮城御出門貳重橋圖),Illustration of [The Emperor’s Carriage] Departing the Imperial Palace [over] Nijūbashi (宮城御出門貳重橋圖),,1889-03,1889,"March 1889 (Meiji 22, 3rd month) - 明治二十二年三月 日 printed with publisher cartouche)",Utagawa Kunimasa IV 四代 歌川国政 (1848-1920),,,"A glaring red sky heralds the departure of the Emperor and Empress from the Imperial Palace. After the promulgation ceremony of the constitution in the main hall of the Meiji Palace on February 11, 1889, the Emperor and Empress headed for the military parade at the Aoyama Drill Hall. In the center of the print is Nijūbashi Bridge and in the upper right is the Imperial Palace.",,"Hasegawa Sonokichi 長谷川園吉 [Marks: pub. ref. 101, seal not shown]",,,,,"明治二十二年三月 日 March 1889 (Meiji 22, 3rd month) see top of publisher's seal below",Impression excellent,Colors excellent,Condition good - almost full size; removed from album backing; minor paper damage repaired verso,"Genre nishiki-e, kaika-e",Format vertical ōban triptych,H x W Image R: 14 1/16 x 9 1/8 in. (35.7 x 23.2 cm) C: 14 x 9 1/2 in. (35.6 x 24.1 cm) L: 13 7/8 x 8 15/16 (35.2 x 22.7 cm),H x W Paper R: 14 1/4 x 9 1/8 in. (36.2 x 23.2 cm) C: 14 1/4 x 9 1/2 in. (36.2x 24.1 cm) L: 14 1/4 x 9 3/8 in. (36.2 x 23.8 cm),Literature,Collections This Print,IHL.1978,IHL.1978,IHL Catalog #1978,,,,Image;StillImage,image/jpeg,ihl-1978.jpg,ihl-1978_th.jpg,ihl-1978_sm.jpg,ihl_artist_211,https://www.myjapanesehanga.com/home/artists/utagawa-kunimasa-iv-1848-1920/illustration-of-the-emperor-s-carr-b13f4d33059faad.html,
ihl-1985,,,,Spring (untitled),Spring (untitled),,1954-02,1954,Feb-54,"Yoshida Chizuko 吉田千鶴子
(1924-2017)", , ,"Using the same woodblocks, with minor modifications, Chizuko presents two tilting city landscapes.  IHL Cat. #1091 is titled Spring, but its seeming twin IHL Cat. #1985 bears no title. In the untitled print HL Cat. #1985, Chizuko has shifted the position of the chain of heart-shaped objects to the right and darkened the background.  Additional marks, most noticeable in the lower left of the image have also been made.  Known for her later prints featuring myriads of butterflies, there may be one flitting about in the upper left quadrant of both these prints. ",,self-published,,Printer self-printed,,,Feb-54,Impression excellent,Colors good,Condition good - minor overall toning,Genre sōsaku hanga,Format vertical ōban,H x W Image 14 3/4 x 9 5/8 in. (37.5 x 24.4 cm),H x W Paper 15 15/16 x 10 7/8 in. (40.5 x 27.6 cm),Reference Literature,Collections This Print,IHL.1985,IHL.1985,IHL Catalog #1091; #1985,,,,Image;StillImage,image/jpeg,ihl-1985.jpg,ihl-1985_th.jpg,ihl-1985_sm.jpg,ihl_artist_242,https://www.myjapanesehanga.com/home/artists/chizuko-yoshida/spring.html,
ihl-1988,cew added 20220302 -needs extra cleaning, ,CN Complete,"Eight Phases of the Life of Shakyamuni, a Japanese Library, v. 32, 2nd part (釈迦八相倭文庫 三拾二編 下 Shaka hassō Yamato bunko dai 3 hen 2)","Eight Phases of the Life of Shakyamuni, a Japanese Library, v. 32, 2nd part (釈迦八相倭文庫 三拾二編 下 Shaka hassō Yamato bunko dai 3 hen 2)", ,1854-06,1854,"1854, 6th month - date seal reading 寅六 and aratame censor seal reading 改",Utagawa Kunisada I 歌川国貞 (1786–1865); Utagawa Kunisada II 二代 歌川国貞  (1823-1880),歌川國貞画 Utagawa Kunisada ga printed on front cover and last page of text, ,"""Eight Phases of the Life of Shakyamuni, a Japanese Library (Shaka hassō Yamato bunko) was published as a serialized novel in fifty-eight installments from 1845 to 1871. While the author of the series, Mantei Ōga (born 1819 and died 1890 in Edo/Tokyo), loosely based the story on the biography of the Buddha in India, he presented episodes from the life of the Buddha (Shakyamuni in Sanskrit) and his disciples as dramatic scenes recast mostly from images of popular entertainment culture of the day. Critical reviews of the time complained about how distant the tales were from Buddhist canonical traditions."" - Sherry Fowler, Kansas State University, Beach Museum of Art","Also seen translated as ""'A Japanese Version of the Life of Buddha"", ""The Eight Lives of Siddhartha, a Japanese Library"", Eight Faces of Buddha: A Japan Treasury""","上州屋重蔵. Jōshūya Jūzō, firm name 錦重堂 Kinjūdō [Marks: pub. ref. 191)", , ,Ōga Mantei 万亭應賀 (1818-1890),,,Impression good,Colors good,Condition good,Genre ehon with fukurotoji binding, , ,H x W Paper (front cover size) 7 x 4 5/8 in.,n.a.,Collections This Print Waseda University Library ヘ13_03387_0006,IHL.1988,IHL.1988,IHL Catalog #1988,,,,Image;StillImage,image/jpeg,ihl-1988.jpg,ihl-1988_th.jpg,ihl-1988_sm.jpg,ihl_artist_213,https://pages.uoregon.edu/jsmacollections/home/books-and-magazines-in-queue/Vol%2032%20composite%20for%20queue%20web.jpg,
ihl-1989,cew added 20220302 -needs extra cleaning, ,CN Complete,"Eight Phases of the Life of Shakyamuni, a Japanese Library, v. 45, 2nd part (釈迦八相倭文庫 四拾五編 下 Shaka hassō Yamato bunko dai 4 hen 5 )","Eight Phases of the Life of Shakyamuni, a Japanese Library, v. 45, 2nd part (釈迦八相倭文庫 四拾五編 下 Shaka hassō Yamato bunko dai 4 hen 5 )", ,1859-10,1859,"1859, 10th month - combined date and aratame censor seal reading 未十改",Utagawa Kunisada I 歌川国貞 (1786–1865); Utagawa Kunisada II 二代 歌川国貞  (1823-1880),歌川國貞画 Utagawa Kunisada ga printed on front cover and last page of text, ,"""Eight Phases of the Life of Shakyamuni, a Japanese Library (Shaka hassō Yamato bunko) was published as a serialized novel in fifty-eight installments from 1845 to 1871. While the author of the series, Mantei Ōga (born 1819 and died 1890 in Edo/Tokyo), loosely based the story on the biography of the Buddha in India, he presented episodes from the life of the Buddha (Shakyamuni in Sanskrit) and his disciples as dramatic scenes recast mostly from images of popular entertainment culture of the day. Critical reviews of the time complained about how distant the tales were from Buddhist canonical traditions."" - Sherry Fowler, Kansas State University, Beach Museum of Art","Also seen translated as ""'A Japanese Version of the Life of Buddha"", ""The Eight Lives of Siddhartha, a Japanese Library"", Eight Faces of Buddha: A Japan Treasury""","上州屋重蔵. Jōshūya Jūzō, firm name 錦重堂 Kinjūdō [Marks: pub. ref. 191)", , ,Ōga Mantei 万亭應賀 (1818-1890),,,Impression good,Colors good,"Condition good - binding thread is lose, minor soiling cover and some pages",Genre ehon with fukurotoji binding,n.a.,n.a.,H x W Paper (front cover size) 7 x 4 5/8 in.,n.a.,Collections This Print Waseda University Library ヘ13_03785_0090,IHL.1989,IHL.1989,IHL Catalog #1989,,,,Image;StillImage,image/jpeg,ihl-1989.jpg,ihl-1989_th.jpg,ihl-1989_sm.jpg,ihl_artist_213,https://pages.uoregon.edu/jsmacollections/home/prints-in-online-queue/vol45%20composite%20for%20queue.jpg,
ihl-1990,cew added 20220302 -needs extra cleaning, ,CN Complete,"Eight Phases of the Life of Shakyamuni, a Japanese Library, v. 47, part 2 (釈迦八相倭文庫 四拾七編 下 Shaka hassō Yamato bunko dai 4 hen 7 )","Eight Phases of the Life of Shakyamuni, a Japanese Library, v. 47, part 2 (釈迦八相倭文庫 四拾七編 下 Shaka hassō Yamato bunko dai 4 hen 7 )", ,1860-12,1860,"1860, 12th month - combined date and aratame censor seal reading 申十二改",Utagawa Kunisada I 歌川国貞 (1786–1865); Utagawa Kunisada II 二代 歌川国貞  (1823-1880),"歌川國貞画 Utagawa Kunisada ga printed on front cover upper right and 外題豐國画 gedai Toyokuni ga within Toshidama  年玉 cartouche printed on front cover, 一夀齋國貞画  Ichijusai Kunisada ga on last page of text", ,"""Eight Phases of the Life of Shakyamuni, a Japanese Library (Shaka hassō Yamato bunko) was published as a serialized novel in fifty-eight installments from 1845 to 1871. While the author of the series, Mantei Ōga (born 1819 and died 1890 in Edo/Tokyo), loosely based the story on the biography of the Buddha in India, he presented episodes from the life of the Buddha (Shakyamuni in Sanskrit) and his disciples as dramatic scenes recast mostly from images of popular entertainment culture of the day. Critical reviews of the time complained about how distant the tales were from Buddhist canonical traditions."" - Sherry Fowler, Kansas State University, Beach Museum of Art","Also seen translated as ""'A Japanese Version of the Life of Buddha"", ""The Eight Lives of Siddhartha, a Japanese Library"", Eight Faces of Buddha: A Japan Treasury""","上州屋重蔵. Jōshūya Jūzō, firm name 錦重堂 Kinjūdō [Marks: pub. ref. 191)", , ,Ōga Mantei 万亭應賀 (1818-1890),,,Impression good,Colors good,"Condition fair - binding thread is lose, wormage, soiling, some paper damage",Genre ehon with fukurotoji binding,n.a.,n.a.,H x W Paper (front cover size) 7 x 4 5/8 in.,n.a.,"Collections This Print Waseda University Library ヘ13_02944_0016, ARC 文庫 shiBK03-0112-04",IHL.1990,IHL.1990,IHL Catalog #1990,,,,Image;StillImage,image/jpeg,ihl-1990.jpg,ihl-1990_th.jpg,ihl-1990_sm.jpg,ihl_artist_213,https://pages.uoregon.edu/jsmacollections/home/books-and-magazines-in-queue/Vol%2047%20composite%20for%20queue%20web.jpg,
ihl-2007,,,,"The Wheel of Causation, Volumes 21 and 22 (編童謡妙々車 21編, 22編) Warabeuta myōmyō guruma ) ","The Wheel of Causation, Volumes 21 and 22 (編童謡妙々車 21編, 22編) Warabeuta myōmyō guruma ) ",,1867,1876,"1867 first date of publication. This collection's book published 1876, which appears on the last of each volume. 明治七年甲戌春陽開板標目. A combined date and aratame (censor) seal appears on the first page of text of each volume indicating the date when approval was given by the government censor 寅二改 Keiō 2, 2nd month (February 1866). The preface to each volume bears the date 慶應三年卯春首發版 -published Keiō 3 (1867), 2nd lunar month.",Utagawa Kunisada II 二代 歌川国貞  (1823-1880)," 國貞画 Kunisada ga - appearing on front cover, 梅朝楼國貞画 Baichōrō Kunisada ga - appearing on final page of volume 21, part 1, 梅朝楼國貞画 Baichōrō Kunisada ga - appearing on frontispieces for part 2 of volumes 21 and 22, 國貞画  Kunisada ga appearing on final page of text of volumes 21 and 22.",,"Volumes 21 and 22 of the 25 volume illustrated novel (kusazōshi 草双紙) Warabeuta myōmyō guruma, originally published between 1855 and 1871 by the Edo/Tokyo publisher Tsutaya Kichizō of the firm Kōeidō. While volumes 21 and 22 were originally issued in 1867 this collection's edition was likely issued in 1874, based upon the dated (Meiji 7) advertisement page following each volume, as shown below. Commonly translated as The Wheel of Causation, the story revolves around the romantic adventures of Princess Uzuki and the hero Shidoroku. While written for the masses, the heavily illustrated kusazōshi have been called ""a crucial element in the production of modern literary idiom"" and ""a unique form of verbal-visual art"" deserving ""to be treated as a national cultural heritage."" - ""Eyes of the Heart: Illustration and the Visual Imagination in Modern Japanese Literature"" [a dissertation], Pedro Thiago Ramos Bassoe, University of California, Berkeley, 2018, p. 1  ","Also seen translated as ""The Wheels of Wonder; Miraculous Wheel of Wonders""; ""A Children’s Song: The Miraculous Wheel of Wonders"" ",Tsutaya Kichizō 蔦屋吉蔵 - firm: Kōeidō 紅英堂) [Marks: pub. ref. 554] The publisher's name and address appear on the last page of both volumes 蔦屋吉蔵板南伝馬町壹丁目 (Tsutaya Kichizō han Kyōbashi Nantenmachō 1 chōme),,,Ryūtei Senka 笠亭仙果 (c. 1806 - 1868) signing as Ryūtei Tanehiko II 柳亭種彦 2世. ,,"1876 (originally 1867)date appearing on last page of each volume which is an advertisement for the publisher's woodblock printed books available in Meiji 7 (1876) 明治七年甲戌春陽開板標目 date and aratame(censor seal) appearing on the first page of text of each volume and indicating the date when approval was given by the government censor 寅二改Keiō 2, 2nd month (February 1866) date appearing on each preface:慶應三年卯春首發版publishedKeiō 3 (1867), 2nd lunar month",Impression excellent,Colors good,Condition good,Genre kusazōshi; e-hon,Format fukurotoji binding,H x W Image area defined by black border of each illustration: 6 15/16 x 5 1/4 in. (17.6 x 13.3 cm) approx.,H x W Paper overall book dimensions H x W x D: 11 15/16 x 8 5/16 x 7/16 in. (30.3 x 21.1 x 1.1 cm),Reference Literature,"Collections This Book No collections can be found holding this edition. Collections holding other editions include Yale University Library Call Number YAJ 6b19; Waseda University Library volumes 1, 2-22 Call No.ヘ13 03750, volumes 1, 2-18 Call No.ヘ13 01181",IHL.2007,IHL.2007,IHL Catalog #2007,,,,Image;StillImage,image/jpeg,ihl-2007.jpg,ihl-2007_th.jpg,ihl-2007_sm.jpg,ihl_artist_214,https://www.myjapanesehanga.com/home/artists/utagawa-kunisada-ii/warabeuta-myomyoguruma.html,
ihl-2008,,,,"Scenic View of Tokyo, Ueno Park Tōshō-gū Shrine (東京名所上野公園地東照宮 Tōkyō meisho Ueno kōenchi Tōshō gū)","Scenic View of Tokyo, Ueno Park Tōshō-gū Shrine (東京名所上野公園地東照宮 Tōkyō meisho Ueno kōenchi Tōshō gū)",,1889-02,1889,February 1889 - 明治ニ十ニ年ニ月 日出版 (as printed in publisher cartouche),"Yamada Toshitada 山田年忠 (Yamada Keichū 山田敬中)
(1868-1934)",應需 南斎年忠 ōju Nansai Toshitada,unread oval seal,"It is spring and the cherry trees are in bloom as two women and a child all dressed in Western fashion are  strolling through Tokyo's Tōshō-gū Shrine. The shrine dedicated to shogun Tokugawa Ieyasu (1543-1616) and founded  in 1627, has been spared the many natural and man-caused disasters that have visited Tokyo and today remains largely unchanged from its renovation in 1651. The trio likely entered the grounds through Karamon gate, seen in the left panel. Five small figures, three priests and two groundskeepers, can also be seen. While the print is a ""scenic view"" of this Tokyo landmark, the real scenic view is the high-fashion Western dress of the women and child. ",,Yokoyama Ryōhachi (printer and publisher) 橫山良八 印刷兼発行者 橫山良八 [Marks: pub. ref. 623; seal not shown],彫よ三 character after hori 彫 is unclear. ,,,,"February 1889 明治ニ十ニ年ニ月 日出版 published: February 1889 (as shown below in publisher's seal) 明治ニ十ニ年ニ月四日 印刷 printing: February 4, 1889 (as shown below in publisher's seal)",Impression excellent,Colors excellent,Condition good - three sheets joined; trimmed to image; soiling upper part of left and center sheets,Genre ukiyo-e; meisho-e; kaika-e,Format vertical ōban triptych,,H x W Paper 13 9/16 x 28 in. (34.4 x 71.1 cm),Literature,Collections This Print,IHL.2008,IHL.2008,IHL Catalog #2008,,,,Image;StillImage,image/jpeg,ihl-2008.jpg,ihl-2008_th.jpg,ihl-2008_sm.jpg,ihl_artist_234,https://www.myjapanesehanga.com/home/artists/yamada-toshitada-1868-1934/scenic-view-of-tokyo-ueno-park-tosho-gu-shrine.html,
ihl-2009,,,,Sarusawa Pond (猿沢池),Sarusawa Pond (猿沢池),,1960,1960,"Between 1960 and 1969 as dated byThe National Museum of Modern Art, Kyoto",Itō Nisaburō 伊藤仁三郎 (1905-2001),Nisaburo Itoh impressed in bottom left margin,仁 ni,"Sarusawa Pond in Nara on a rainy day. One of the most popular subjects for shin hanga print artists, with seemingly each of those artists having depicted the pond with its five-tiered pagoda in the background at some point in their career. ""This pond is located within Nara Park, and has a circumference of 360 meters. The five-storied pagoda of Kofuku-ji Temple, as well as the willow trees surrounding the pond reflect beautifully in his surface, and are recognized as one of the Eight Views of Nara.""-website of Nara Travelers Guide https://narashikanko.or.jp/en/spot/nature/sarusawaike/",,"Uchida Bijutsu Shoshi with hexagonal seal reading Uchida han 内田版  and Uchida han copyright seal in bottom of right margin [Marks: pub. ref. 558, seal 09-012]",,,,,"1960/1969 (as dated byThe National Museum of Modern Art, Kyoto)",Impression excellent,Colors excellent,"Condition good - layed down on remnants from folio, mounting corners verso",Genre shin hanga,Format vertical ōban,H x W Image 15 7/8 x 10 5/8 in. (40.3 x 27 cm),H x W Paper 17 1/8 x 11 5/8 in. (43.5 x 29.5 cm),Reference Literature,"Collections This Print The National Museum of Modern Art, Kyoto P01200-014",IHL.2009,IHL.2009,IHL Catalog #2009,,,,Image;StillImage,image/jpeg,ihl-2009.jpg,ihl-2009_th.jpg,ihl-2009_sm.jpg,ihl_artist_047,https://pages.uoregon.edu/jsmacollections/home/artists/ito-nisaburo-1905-2001/sarusawa-pond.html,
