objectid,artistid,publication_date_messy,date,catalog,catalog_2_orig_ref,description,page_header,title,series,creator,signature,seal,date_text,publisher,carver,printer,impression_quality,colors,condition,genre,misc,format_print,size_sheet,size_image,lit//ref lit,collections,location,latitude,longitude,image_small,image_thumb,filename,type,format,print_link
ihl-0940,,November 1897,1897,IHL.0940,IHL Catalog  #940,Title (Description)  “Kabukiza Aki kyōgen Sugawara” [Autumn play at the Kabukiza] Tokihira-kō Nanawarai Ichikawa Danjūrō 「歌舞伎座秋狂言　菅原」「時平公七わらひ 市川團十郎,(Description)  “Kabukiza Aki kyōgen Sugawara” [Autumn play at the Kabukiza] Tokihira-kō Nanawarai Ichikawa Danjūrō 「歌舞伎座秋狂言　菅原」「時平公七わらひ 市川團十郎,(Description)  “Kabukiza Aki kyōgen Sugawara” [Autumn play at the Kabukiza] Tokihira-kō Nanawarai Ichikawa Danjūrō 「歌舞伎座秋狂言　菅原」「時平公七わらひ 市川團十郎,, Toyohara Kunichika (1835–1900),,,November 1897,Fukuda Hatsujirō 福田初次郎 [Marks: similar to 30-062; pub. ref. 070],seal reading: 彫弥太 Hori Yata; seal of the 渡辺 弥太郎 Watanabe Yotarō,,,Colors  excellent,Condition  fair - backed with heavy album paper; three sheets joined; separation at joinings; minor soiling throughout; minor folds; margin trimmed on right removing part of publisher's seal.,Genre  ukiyo-e; yakusha-e (役者絵),,Format  vertical oban triptych,H x W Paper  14 1/4 x 28 1/8 in. (36.2 x 71.4 cm),,Literature,"Collections This Print  Ritsumeikan University Art Research Center UY0265,0266,0267",,,,ihl-0940_sm.jpg,ihl-0940_th.jpg,ihl-0940.jpg,Image;StillImage,image/jpeg,
ihl-0941,," October, 1897 明治三十年十月 (Wasada University gives the performance date of the play as October 29, 1897 at the Ichimura-za.)",1897,IHL.0941,IHL Catalog  #941,Title (Description)  “Shin koengeki jisshu no uchi - Modoribashi” [Collection of Ten Plays New and Old (alt. trans. Collection of Ten New Old-style Plays) - Modoribashi]  新古演劇十種之内　戻り橋,(Description)  “Shin koengeki jisshu no uchi - Modoribashi” [Collection of Ten Plays New and Old (alt. trans. Collection of Ten New Old-style Plays) - Modoribashi]  新古演劇十種之内　戻り橋,(Description)  “Shin koengeki jisshu no uchi - Modoribashi” [Collection of Ten Plays New and Old (alt. trans. Collection of Ten New Old-style Plays) - Modoribashi]  新古演劇十種之内　戻り橋,, Toyohara Kunichika (1835–1900),,," October, 1897 明治三十年十月 (Wasada University gives the performance date of the play as October 29, 1897 at the Ichimura-za.)",Fukuda Kumajirō 福田熊次郎; Address Nihobahsi-ku Hasegawachō 19-banchi [Marks: 30-046; pub. ref. 071],seal reading: 彫弥太 Hori Yata; seal of the 渡辺 弥太郎 Watanabe Yotarō,,,Colors  excellent,Condition  fair - backed with heavy album paper; three sheets joined; separation at joinings; minor soiling throughout; minor folds,Genre  ukiyo-e; yakusha-e (役者絵),,Format  vertical oban triptych,H x W Paper  14 1/4 x 27 7/8 in. (36.2 x 70.8 cm),,Literature,"Collections This Print  Waseda University Library 101-5229, 101-5230, 101-5231",,,,ihl-0941_sm.jpg,ihl-0941_th.jpg,ihl-0941.jpg,Image;StillImage,image/jpeg,
ihl-0942,," Originally 1915, this edition unknown but likely after WWII",1915,IHL.0942,IHL Catalog  #942,Title  Fireworks (花火), Fireworks (花火), Fireworks (花火), originally appeared in the poetry book Samisen-kusa,   Takehisa Yumeji (1884-1934),   unsigned, not sealed," Originally 1915, this edition unknown but likely after WWII",  unknown,,,,Colors  excellent,Condition  excellent,Genre  fukusei hanga,,,H x W Paper  6 x 4 1/8 in. (15.2 x 10.5 cm),H x W Image  5 3/4 x 3 7/8 in. (14.6 x 9.8 cm),Reference Literature,Collections This Print,,,,ihl-0942_sm.jpg,ihl-0942_th.jpg,ihl-0942.jpg,Image;StillImage,image/jpeg,
ihl-0943,,"Printed on November 5, 1899 / Issued on November 15, 1899 (Meiji 32) 明治三十二年十一月五日 印刷仝年仝月十五日発行 The ARC database entry for their print arcUP1020 carries the same dates as this collection's print, as follows:明治三十二年十一月五日印刷仝年仝月十五日発行",1899,IHL.0943,IHL Catalog  #943,Title  Ugetsu 雨月 (Rain and Moon), Ugetsu 雨月 (Rain and Moon), Ugetsu 雨月 (Rain and Moon), Nōgakuzue 能樂圖繪 (Illustrations of Noh),   Tsukioka Kōgyo (1869-1927),   Kōgyo,Red letter in an irregular rectangular shape with double border: 艮州 [Konshū],"Printed on November 5, 1899 / Issued on November 15, 1899 (Meiji 32) 明治三十二年十一月五日 印刷仝年仝月十五日発行 The ARC database entry for their print arcUP1020 carries the same dates as this collection's print, as follows:明治三十二年十一月五日印刷仝年仝月十五日発行",  Matsuki Heikichi (Daikokuya Heikichi 大黒屋平) [Marks: pub. ref. 029],,,Impression  excellent,Colors  excellent,Condition  excellent,Genre  ukiyo-e,,Format  oban yoko-e,H x W Paper  9 1/4 x 14 1/4 in. (23.5 x 36.2 cm),H x W Image  8 3/4 x 13 in. (22.2 x 33 cm) area within printed black border,Reference Literature,"Collections This Print  University of Pittsburgh Special Collections 20091209-kogyo-0360; Scripps College Ruth Chandler Williamson Gallery 2009.7.24; Art Institute Chicago 1939.2258.174; Art Research Center, Ritsumeikan University AcNo.arcUP0812 CoGNo.arcUP0735 AlGNo.arcUP0735 andAcNo.arcUP1021 CoGNo.arcUP0840 AlGNo.arcUP0840",,,,ihl-0943_sm.jpg,ihl-0943_th.jpg,ihl-0943.jpg,Image;StillImage,image/jpeg,
ihl-0944,,"Printed on September 20, 1899 / Issued on September 25, 1899 (Meiji 32) 明治三十二年九月二十日 印刷仝年仝月廿五日発行The ARC database entry for their print arcUP1045 carries a later than this collection's print, as follows: 明治三十四年十月一日印刷仝年仝月十日発行  of Printing: October 1, 1901; of Issuance: October 10, 1901",1899,IHL.0944,IHL Catalog  #944,"Title  Tsūen 通円 (Tsūen, The Tea Priest)"," Tsūen 通円 (Tsūen, The Tea Priest)"," Tsūen 通円 (Tsūen, The Tea Priest)", Nōgakuzue 能樂圖繪 (Illustrations of Noh),   Tsukioka Kōgyo (1869-1927),   Kōgyo,Red letter in a cup on a table shape,"Printed on September 20, 1899 / Issued on September 25, 1899 (Meiji 32) 明治三十二年九月二十日 印刷仝年仝月廿五日発行The ARC database entry for their print arcUP1045 carries a later than this collection's print, as follows: 明治三十四年十月一日印刷仝年仝月十日発行  of Printing: October 1, 1901; of Issuance: October 10, 1901",  Matsuki Heikichi (Daikokuya Heikichi 大黒屋平) [Marks: pub. ref. 029],,,Impression  excellent,Colors  excellent,Condition  excellent,Genre  ukiyo-e,,Format  oban yoko-e,H x W Paper  9 5/8 x 14 1/4 in. (24.4 x 36.2 cm),H x W Image  8 3/4 x 13 in. (22.2 x 33 cm) area within printed black border,Reference Literature,"Collections This Print  University of Pittsburgh Special Collections 20091209-kogyo-0388; Scripps College Ruth Chandler Williamson Gallery 2009.7.47; Art Institute Chicago 1939.2258.197; Art Research Center, Ritsumeikan University AcNo.arcUP1045 CoGNo.arcUP0840 AlGNo.arcUP0840 and AcNo.arcUP0836 CoGNo.arcUP0735 AlGNo.arcUP0735",,,,ihl-0944_sm.jpg,ihl-0944_th.jpg,ihl-0944.jpg,Image;StillImage,image/jpeg,
ihl-0945,,"明治三十一年三月十日印刷 仝年仝月十二日発行of printing: March 10, 1898 (Meiji 31)of issuance: trimmed from this print but likely March 12, 1898 (Meiji 31)[Note: the print in the Ritsumeikan University collection arcUP0904 carries an issuance of January 5, 1901 (Meiji 34) and a printing of January 1, 1901.]",1898,IHL.0945,IHL Catalog  #945,Title  Sotoba Komachi 卒都婆小町 (Komachi on the Gravepost), Sotoba Komachi 卒都婆小町 (Komachi on the Gravepost), Sotoba Komachi 卒都婆小町 (Komachi on the Gravepost), Nōgakuzue 能樂圖繪 (Illustrations of Noh),   Tsukioka Kōgyo (1869-1927),    Kōgyo 耕 漁,unread red letter in a stupa shape,"明治三十一年三月十日印刷 仝年仝月十二日発行of printing: March 10, 1898 (Meiji 31)of issuance: trimmed from this print but likely March 12, 1898 (Meiji 31)[Note: the print in the Ritsumeikan University collection arcUP0904 carries an issuance of January 5, 1901 (Meiji 34) and a printing of January 1, 1901.]",  Matsuki Heikichi (Daikokuya Heikichi 大黒屋平) [Marks: pub. ref. 029],,,Impression  excellent,Colors  excellent,Condition  good - light offsetting; paper wrinkling left third of print,Genre  ukiyo-e,Miscellaneous  silver and gold metallic highlights,Format  oban yoko-e,H x W Paper  9 1/2 x 14 1/4 in. (24.1 x 36.2 cm),H x W Image  8 3/8 x 13 in. (21.3 x 33 cm) area within printed black border,"Reference Literature  The Beauty of Silence: Nō and Nature Prints by Tsukioka Kōgyo (1869-1927), Robert Schaap & J. Thomas Rimer, Hotei Publishing, 2010, fig. 7, p. 15.","Collections This Print  Art Institute of Chicago 1939.2258.61; Art Research Center, Ritsumeikan University arcUP0904; University of Pittsburgh 20091209-kogyo-0228; Scripps College Ruth Chandler Williamson Gallery 2008.1.84 and 2010.4.13",,,,ihl-0945_sm.jpg,ihl-0945_th.jpg,ihl-0945.jpg,Image;StillImage,image/jpeg,
ihl-0946,,"Printed on June 1, 1899 (Meiji 32) / Issue June 5, 1899 明治三十二年六月一日 印刷 / 仝年仝月五日発行  (note: issue is trimmed and not visible on this collection's print)The ARC database entry for their print arcUP0974 carries the following dates:明治三十二年六月一日印刷仝年仝月五日発行 Printed on June 1, 1899 (Meiji 32) / Issue June 5, 1899",1899,IHL.0946,IHL Catalog  #946,Title  Tenko 天鼓 (The Drum From Heaven), Tenko 天鼓 (The Drum From Heaven), Tenko 天鼓 (The Drum From Heaven), Nōgakuzue 能樂圖繪 (Illustrations of Noh),   Tsukioka Kōgyo (1869-1927),  Kōgyo 耕 漁,"Red letter in an irregular oval shape: 歴山 [Rekizan]  [ref. #89, p. 172 in The Beauty of Silence]","Printed on June 1, 1899 (Meiji 32) / Issue June 5, 1899 明治三十二年六月一日 印刷 / 仝年仝月五日発行  (note: issue is trimmed and not visible on this collection's print)The ARC database entry for their print arcUP0974 carries the following dates:明治三十二年六月一日印刷仝年仝月五日発行 Printed on June 1, 1899 (Meiji 32) / Issue June 5, 1899",  Matsuki Heikichi (Daikokuya Heikichi 大黒屋平) [Marks: pub. ref. 029],,,Impression  IHL Cat. #946: excellent IHL Cat. #1925: excellent,Colors  IHL Cat. #946: excellent IHL Cat. #1925: excellent,Condition  IHL Cat. #946: good - minor soiling; wrinkling of paper left 1/3 of print; left margin partially trimmed IHL Cat. #1925: good - minor soiling; album backing paper; left margin trimmed,Genre  ukiyo-e,,Format  oban yoko-e,H x W Paper  IHL Cat. #946: 9 9/16 x 14 1/16 in. (24.3 x 35.7 cm) IHL Cat. #1925: 9 1/2 x 13 15/16 in. (24.1 x 35.4 cm),H x W Image  IHL Cat. #946: 8 15/16 x 12 15/16 in. (22.7 x 32.9 cm) area within printed black border IHL Cat. #1925: 8 15/16 x 12 15/16 in. (22.7 x 32.9 cm) area within printed black border,Reference Literature,"Collections This Print  University of Pittsburgh Special Collections 20091209-kogyo-0310; Scripps College Ruth Chandler Williamson Gallery 2011.11.32; Art Institute Chicago 1939.2258.129; Art Research Center, Ritsumeikan University AcNo.arcUP0765 CoGNo.arcUP0735 AlGNo.arcUP0735 and AcNo.arcUP0974 CoGNo.arcUP0840 AlGNo.arcUP0840; The Tsubouchi Memorial Theatre Museum of Waseda University 201-4972; Museum of Fine Arts, Boston 53.2928.30; The Walters Art Museum 95.264",,,,ihl-0946_sm.jpg,ihl-0946_th.jpg,ihl-0946.jpg,Image;StillImage,image/jpeg,
ihl-0947,, June 1925,1925,IHL.0947,IHL Catalog  #947,Title  Hyakuman 百万, Hyakuman 百万, Hyakuman 百万, Nōgaku hyakuban 能楽百番 (One Hundred Prints of Noh or One Hundred Noh Plays),   Tsukioka Kōgyo (1869-1927),   Kōgyo,"hōraku [Joy in the law (a Buddhist seal)], no. 21, p. 170 in The Beauty of Silence: Nō and Nature Prints by Tsukioka Kōgyo (1869-1927), Robert Schaap & J. Thomas Rimer, Hotei Publishing, 2010.", June 1925, Matsuki Heikichi (Daikokuya) [Marks: seal not shown; pub. ref. 029],,,Impression  excellent,Colors  excellent,"Condition  good -  fold across top of print; 3"" fold along right side of print ; minor mounting residue verso on edges; small paper loss bottom left repaired from verso",Genre  ukiyo-e,,Format  oban tate-e,H x W Paper  14 7/8 x 10 in. (37.8 x 25.4 cm),,"Reference Literature  The Beauty of Silence: Nō and Nature Prints by Tsukioka Kōgyo (1869-1927), Robert Schaap & J. Thomas Rimer, Hotei Publishing, 2010, p. 179.",Collections This Print  Scripps College 2007.1.78; Art Institute of Chicago 1943.834.8; Ritsumeikan Art Research Center arcUP1425,,,,ihl-0947_sm.jpg,ihl-0947_th.jpg,ihl-0947.jpg,Image;StillImage,image/jpeg,
ihl-0948,, May 1925,1925,IHL.0948,IHL Catalog  #948,Title  Kosode Soga 小袖曾我, Kosode Soga 小袖曾我, Kosode Soga 小袖曾我, Nōgaku hyakuban 能楽百番 (One Hundred Prints of Noh or One Hundred Noh Plays),   Tsukioka Kōgyo (1869-1927),   Kōgyo,"Kōgyo, no. 46, p. 171 in The Beauty of Silence: Nō and Nature Prints by Tsukioka Kōgyo (1869-1927), Robert Schaap & J. Thomas Rimer, Hotei Publishing, 2010.", May 1925, Matsuki Heikichi (Daikokuya) [Marks: seal not shown; pub. ref. 029],,,Impression  excellent,Colors  excellent,Condition  excellent - minor fold along top of print; minor mounting residue verso on edges,Genre  ukiyo-e,,Format  oban tate-e,H x W Paper  14 3/4 x 10 in. (37.5 x 25.4 cm),,"Reference Literature  The Beauty of Silence: Nō and Nature Prints by Tsukioka Kōgyo (1869-1927), Robert Schaap & J. Thomas Rimer, Hotei Publishing, 2010, p. 178.",Collections This Print  Scripps College 2007.1.78; Art Institute of Chicago 1943.834.8; Ritsumeikan Art Research Center arcUP1425,,,,ihl-0948_sm.jpg,ihl-0948_th.jpg,ihl-0948.jpg,Image;StillImage,image/jpeg,
ihl-0949,," May 27, 1886 original publication 明治 十九年 五月 廿七日",1886,IHL.0949,IHL Catalog  #949, Dainin Kamitsukeno Katana 大仁上毛野形名, Dainin Kamitsukeno Katana 大仁上毛野形名, Dainin Kamitsukeno Katana 大仁上毛野形名,"“Instructive Models of Lofty Ambition” (Kyōdō risshiki 教導立志基) [note: title also seen as  'Kyodo Risshi no Moto', ‘Kyodo risshi no motoi’, ‘Kyōdō risshi ki’ and variously translated as “Moral of success” or “Foundations of learning and achievement” or “Self-made Men Worthy of Emulation” or “Examples of Self-made Leaders” or ""Paragons of instruction and success""]", Kiyochika Kobayashi (1847-1915),Kiyochika 清親,shin ga 真画 (as shown above)," May 27, 1886 original publication 明治 十九年 五月 廿七日"," Matsuki Heikichi (松木平吉) proprietor of Daikokuya Heikichi [Marks: seal not shown; pub. ref. 029] click on image to enlarge (from right to left) publishing and printing date:  御届  明治十九年  五月  廿 七 日   [notification delivered, Meiji 19 5th month 27th day] assigned number within series:  二  [2] information:  画 工 兼   出 版 人     両国吉川町二番地  松木平吉  版 [artist and Ry ōgoku Yoshikawach ō 2-banchi Matsuki Heikichi han ]",,,,Colors  excellent,Condition  excellent - backed; margin trimmed to brocade border; minor waviness from backing,Genre  ukiyo-e; rishki-e; kyōiku nishiki-e,,Format  vertical oban,H x W Paper  14 1/8 x 9 1/4 in. (35.6 x 23.5 cm),H x W Image  same as paper size,Literature,"Collections This Print  Tokyo Metropolitan Library 280-K014 (1886 edition with light brown brocade border, as pictured above); Smithsonian Institution Freer Sackler S1995.116.2 (border trimmed); Edo Tokyo Museum 96200363",,,,ihl-0949_sm.jpg,ihl-0949_th.jpg,ihl-0949.jpg,Image;StillImage,image/jpeg,
ihl-0950,, December 1885 明治十八年 十二月,1885,IHL.0950,IHL Catalog  #950, Kesa Gozen 袈裟御前, Kesa Gozen 袈裟御前, Kesa Gozen 袈裟御前,"“Instructive Models of Lofty Ambition” (Kyodo risshiki 教導立志基) [note: title also seen as  'Kyodo Risshi no Moto', ‘Kyodo risshi no motoi’, ‘Kyōdō risshi ki’ and variously translated as “Moral of success” or “Foundations of learning and achievement” or “Self-made Men Worthy of Emulation”' or “Examples of Self-made Leaders” or ""Paragons of instruction and success""]", Kiyochika Kobayashi (1847-1915),Kiyochika 清親 with Kiyochika 清親 seal, Kiyochika 清親, December 1885 明治十八年 十二月," Matsuki Heikichi (松木平吉) proprietor of Daikokuya Heikichi [Marks: seal not shown; pub. ref. 029] click to enlarge (from right to left) publishing and printing date:  御屆    明治十 八年  十 二 月   [ notification delivered,  Meiji 18,  notification delivered,  12th month] assigned number within series:  十 二  [12] information:  画 工兼   出 板    両国吉川町二番地   松木平吉 版 [artist and Ry ōgoku Yoshikawach ō 2-banchi Matsuki Heikichi han ]",,,,Colors  excellent,Condition  good - backed; waviness in paper,Genre  ukiyo-e; rishki-e; kyōiku nishiki-e,,Format  vertical oban,H x W Paper  14 1/8 x 9 3/8 in. (35.9 x 23.8 cm),H x W Image  14 x 9 3/8 in. (35.6 x 23.8 cm) [13 3/8 x 8 in. area inside brocade border],Literature,"Collections This Print  Tokyo Metropolitan Library 270-K002 (original edition same as IHL Cat. #503); Edo-Tokyo Museum (Tokyo Digital Museum) 96200373 (same as IHL Cat. #950), see above); The Tsubouchi Memorial Theatre Museum of Waseda University 401-0569 (original edition same as IHL Cat. #503)",,,,ihl-0950_sm.jpg,ihl-0950_th.jpg,ihl-0950.jpg,Image;StillImage,image/jpeg,
ihl-0951,, July 1890 明治廿三年七月　日,1890,IHL.0951,IHL Catalog  #951, Ōishi Yoshio 大石良雄, Ōishi Yoshio 大石良雄, Ōishi Yoshio 大石良雄,"“Instructive Models of Lofty Ambition” (Kyodo risshiki 教導立志基) [note: title also listed as  'Kyodo Risshi no Moto', ‘Kyodo risshi no motoi’, ‘Kyōdō risshi ki’ and variously translated as “Moral of success” or “Foundations of learning and achievement” or “Self-made Men Worthy of Emulation”' or “Examples of Self-made Leaders” or ""Paragons of instruction and success""]", Mizuno Toshikata (1866-1908),Toshikata 年方, Toshikata 年方 as shown above, July 1890 明治廿三年七月　日,"  Matsuki Heikichi (松木平吉) proprietor of Daikokuya Heikichi [Marks: seal not shown; pub. ref. 029] click on image to enlarge (from right to left) publishing and printing date:  明治廿三年 七 月　日  印刷 出版 [Meiji 23 7th month, printing and publication] assigned number within series: number omittedinformation: 著印刷兼発行者   両国吉川町二番地  松木平吉  [printer and Ry ōgoku Yoshikawach ō 2-banchi Matsuki Heikichi ]",,,,Colors  excellent,Condition  good - backed; trimmed to image; minor soiling; minor waviness to paper,Genre  ukiyo-e; rishki-e; kyōiku nishiki-e,,Format  vertical oban,H x W Paper  14 1/16 x 9 1/4 in. (35.7 x 23.5 cm),H x W Image  14  x 9 1/4 in. (35.6 x 23.5 cm) [12 1/2 x 8 in. (31.8 x 20.6 cm) area inside brocade border],Literature,Collections This Print Tokyo Metropolitan Library 258-C030,,,,ihl-0951_sm.jpg,ihl-0951_th.jpg,ihl-0951.jpg,Image;StillImage,image/jpeg,
ihl-0952,, 1886,1886,IHL.0952,IHL Catalog  #952, Chōdensu 兆殿司, Chōdensu 兆殿司, Chōdensu 兆殿司,"“Instructive Models of Lofty Ambition” (Kyodo risshiki 教導立志基) [note: title also listed as  'Kyodo Risshi no Moto', ‘Kyodo risshi no motoi’, ‘Kyōdō risshi ki’ and variously translated as “Moral of success” or “Foundations of learning and achievement” or “Self-made Men Worthy of Emulation”' or “Examples of Self-made Leaders” or ""Paragons of instruction and success""]", Inoue Yasuji (1864-1889),Inoue Tankei 井上 探景, Tankei 探景 as shown above, 1886,"  Matsuki Heikichi (松木平吉) proprietor of Daikokuya Heikichi [Marks: seal not shown; pub. ref. 029] click on image to enlarge (from right to left) publishing and printing date:  御届  明治 十 九 年  [notification delivered, Meiji 19] assigned number within series:  八  [8] information:  画 工 兼   出 版    両国吉川町二番地  松木平吉  版 [artist and Ry ōgoku Yoshikawach ō 2-banchi Matsuki Heikichi han ]",,,,Colors  excellent,Condition  fair - backed; trimmed to brocade border; minor paper wrinkling from backing,Genre  ukiyo-e; rishki-e; kyōiku nishiki-e,,Format  vertical oban,H x W Paper  14 1/8 x 9 1/4 in. (35.9 x 23.5 cm) (12 1/2 x 8 /18 in. area inside brocade border],,Literature,Collections This Print  Tokyo Metropolitan Library 3552-K00; Edo Tokyo Museum (Tokyo Digital Collection) 96200369;The Tsubouchi Memorial Theatre Museum of Waseda University 401-0566 (olive/green brocade border),,,,ihl-0952_sm.jpg,ihl-0952_th.jpg,ihl-0952.jpg,Image;StillImage,image/jpeg,
ihl-0953,, 1836 天保０７ (Date is taken from the Tokyo Metropolitan Library database entries for the right and center panels.  Date for the right panel is unknown.),1836,IHL.0953,IHL Catalog  #953,"Title  Actors Iwai Shijaku (岩井紫若) as Masaoka no Tsubone ( 政岡の局), Ichikawa Komazō V (市川高麗蔵) as Arajishi Otokonosuke (獅子男之助)and, Matsumoto Kōshirō V (松本幸四郎) as Nikki Danjō (仁木弾正) [in the play Date Kurabe Okuni Kabuki伊達競阿國劇場]"," Actors Iwai Shijaku (岩井紫若) as Masaoka no Tsubone ( 政岡の局), Ichikawa Komazō V (市川高麗蔵) as Arajishi Otokonosuke (獅子男之助)and, Matsumoto Kōshirō V (松本幸四郎) as Nikki Danjō (仁木弾正) [in the play Date Kurabe Okuni Kabuki伊達競阿國劇場]"," Actors Iwai Shijaku (岩井紫若) as Masaoka no Tsubone ( 政岡の局), Ichikawa Komazō V (市川高麗蔵) as Arajishi Otokonosuke (獅子男之助)and, Matsumoto Kōshirō V (松本幸四郎) as Nikki Danjō (仁木弾正) [in the play Date Kurabe Okuni Kabuki伊達競阿國劇場]", n/a, Utagawa Kunisada I (1786–1865),"Gototei Kunisada ga 五渡亭国貞画  [Gototei [五渡亭] was Kunisada's most common gō (artist name) until 1844. It literally means ""Pavillion of the Fifth Ferry"" and refers to the ferry boat service owned by Kunisada's family.] Source: http://www.kunisada.de/Liste/kunisada--seal.html", no artist present, 1836 天保０７ (Date is taken from the Tokyo Metropolitan Library database entries for the right and center panels.  Date for the right panel is unknown.),Wakasaya Yoichi 若狭屋 与市 [Marks: seal 07-008; pub. ref. 573] Publisher's seal appears on right and center panels only,  unknown,,,Colors  excellent,Condition  fair - extensive wrinkling throughout; remnants of backing paper; repairs verso to left panel,Genre  ukiyo-e; yakusha-e,,Format  oban triptych,H x W Paper  14 1/4 x 9 3/4 (36.2 x 24.8 cm) each sheet,,Reference Literature,Collections This Print  Tokyo Metropolitan Library archive N074-019 right panel only; Japan Arts Council 04004 center panel only,,,,ihl-0953_sm.jpg,ihl-0953_th.jpg,ihl-0953.jpg,Image;StillImage,image/jpeg,
ihl-0954,,"1865 (Genji 2/Keiō 1), 2nd month 丑二改 sign of the ox 2 aratameJanuary 29, 1865",1865,IHL.0954,IHL Catalog  #954,"Title  The actors Bandō Hikosaburō V as Ukiyo Tohai,  Ichimura Kakitsu IV as Nozarashi Gosuke and Ichikawa Danzō VI as Rokuji Namuemon [starring in a performance from the New Year drama Tsuru no chitose Soga no kadomatsu][浮世戸平　坂東彦三郎」「野ざらし吾助　市村家橘」「六字南無右衛門　市川団蔵」 鶴千歳曽我門松"," The actors Bandō Hikosaburō V as Ukiyo Tohai,  Ichimura Kakitsu IV as Nozarashi Gosuke and Ichikawa Danzō VI as Rokuji Namuemon [starring in a performance from the New Year drama Tsuru no chitose Soga no kadomatsu][浮世戸平　坂東彦三郎」「野ざらし吾助　市村家橘」「六字南無右衛門　市川団蔵」 鶴千歳曽我門松"," The actors Bandō Hikosaburō V as Ukiyo Tohai,  Ichimura Kakitsu IV as Nozarashi Gosuke and Ichikawa Danzō VI as Rokuji Namuemon [starring in a performance from the New Year drama Tsuru no chitose Soga no kadomatsu][浮世戸平　坂東彦三郎」「野ざらし吾助　市村家橘」「六字南無右衛門　市川団蔵」 鶴千歳曽我門松", n/a, Utagawa Kunisada II (1823-1880),Baichōrō Kunisada ga (on each sheet) 梅蝶楼国貞画, Toshidama in red ink under the signature,"1865 (Genji 2/Keiō 1), 2nd month 丑二改 sign of the ox 2 aratameJanuary 29, 1865","Iseya Kanekichi 伊勢屋 兼吉, seal reading 吉 伊勢兼 Kichi Isekane [Marks: seal 21-059; pub. ref. 145]", Carver,,,Colors  excellent,Condition  good - three separate panels; lightly backed; minor soiling,Genre  ukiyo-e; yakusha-e,,Format  vertical oban triptych,H x W Paper  right sheet: 14 1/8 x 9 1/2 (35.9 x 24.1 cm); center sheet 14 1/8 x 9 1/2 (35.9 x 24.1 cm); left sheet 14 1/8 x 9 1/4 (35.9 x 23.5 cm),,Reference Literature,"Collections This Print  The Tsubouchi Memorial Theatre Museum of Waseda University 201-5843, 201-5844, 201-5845; Museum of Fine Arts, Boston 11.38729a-c; Art Research Center Ritsumeikan University arcUP0148, UP0149, UP0150; Tokyo Metropolitan Library M246-1-2(1,2,3); Biblioteca Digital Hispanica  Biblioteca Nacional De Espana binp0000280567",,,,ihl-0954_sm.jpg,ihl-0954_th.jpg,ihl-0954.jpg,Image;StillImage,image/jpeg,
ihl-0955,,,,IHL.0955,IHL Catalog #955,,,,,,,,,,,,,,,,,,,,,,,,,ihl-0955_sm.jpg,ihl-0955_th.jpg,ihl-0955.jpg,Image;StillImage,image/jpeg,
ihl-0956,, 1968,1968,IHL.0956,IHL Catalog  #956, 六月の風 No. 2] Breeze No. 2 [as inscribed on print] [Rokugatsu no kaze No. 2], 六月の風 No. 2] Breeze No. 2 [as inscribed on print] [Rokugatsu no kaze No. 2], 六月の風 No. 2] Breeze No. 2 [as inscribed on print] [Rokugatsu no kaze No. 2], Breeze,   Hagiwara Hideo (1913 - 2007),   pencil signed by artist in English – Hideo Hagiwara in lower left margin,, 1968,  self-published, self-carved,Printer  self-printed,Impression  excellent,Colors  excellent,Condition  good -  minor mat line; fold lower right margin not impacting image; rubbing lower right margin not impacting image,Genre  sosaku hanga (creative print),,,H x W Paper  14 1/4 x 22 1/8 in. (36.2 x 56.2 cm),H x W Image  11 x 18 1/4 in. (27.9 x 46.4 cm),Reference Literature,Collections This Print,,,,ihl-0956_sm.jpg,ihl-0956_th.jpg,ihl-0956.jpg,Image;StillImage,image/jpeg,
ihl-0957,, 1963,1963,IHL.0957,IHL Catalog  #957,Title  Midday at the Beach (Mahiru no Hama 真晝の浜), Midday at the Beach (Mahiru no Hama 真晝の浜), Midday at the Beach (Mahiru no Hama 真晝の浜), n/a, Kitaoka Fumio(1918-2007), pencil signed by artist in English lower right of margin, unsealed, 1963,  self-published,,,,Colors  excellent,Condition  excellent - minor toning verso; spot of foxing verso,Genre  sosaku hanga (creative print),,,H x W Paper  15 5/8 x 18 7/8 in. (39.7 x 47.9 cm),H x W Image  13 3/4 x 17 1/2 in.  (34.9 x 44.5 cm),Reference Literature,Collections This Print,,,,ihl-0957_sm.jpg,ihl-0957_th.jpg,ihl-0957.jpg,Image;StillImage,image/jpeg,
ihl-0958,, 1966,1966,IHL.0958,IHL Catalog  #958,Title  Summer Vacation  夏休み, Summer Vacation  夏休み, Summer Vacation  夏休み,, Takahashi Rikio (1917-1998), Pencil signed by artist - Rikio Takahashi in English, none, 1966,  self-published,,,,Colors  excellent,Condition  good - minor printing creases; mat line in margin,Genre  sosaku hanga (creative print),,,H x W Paper  36 3/4 x 24 in. (93.3 x 60.1 cm),H x W Image  31 3/4 x 20 7/8 in. (80.6 x 53 cm),"Reference Literature  Catalogue Raisonné: Rikio Takahashi, The Woodblock Prints, published by Abe Publishing LTD., 1998, p. 140 number 206.",Collections This Print  Minneapolis Institute of Art 2013.29.602,,,,ihl-0958_sm.jpg,ihl-0958_th.jpg,ihl-0958.jpg,Image;StillImage,image/jpeg,
