objectid,temp sort,Note,Christin Newell,page_header,title,series,date_first_issued (cew new),date,date_text,creator,signature,seal,description,misc,publisher,carver,printer,Author (cew new),Editor (cew new),publication_date_messy,impression_quality,colors,condition,genre,format_print,size_image,size_sheet,lit//ref lit,collections,catalog,catalog_altform,catalog_2_orig_ref,location,latitude,longitude,type,format,filename,image_thumb,artistid (temporarily using for notes-cew),image_small,print_link
ihl-1107,,,,"The Ninety-Two Oban-size Color Prints Issued in 1888 As Supplements to the Textbooks ""Nishiki-e shūshindan""  錦絵修身談 ", 兄弟死を争ふて危難を免る「八丁」,"錦絵修身談 (Brocade Prints for Moral Education); Volume 1, story 9",21st year of the Meiji era (明治２１),1888,reprint 1888,Inano Toshitsune 稲野年恒 (1858-1907); Tominaga Toshichika 富永年親 (1847-?),応需 年恒画 ōju Toshitsune-ga; 校 年親 kō Toshichika,,"Two brothers are confronted by the robbers. Facing certain death, each brother begged the robbers to kill him and spear the other. The robbers felt compassion for their brotherly love and let them go unharmed. 

In October 1883 a set of ninety-two full-color oban-size prints designed by students of Yoshitoshi were published by Tsuji Keiji and his publishing house Fukyūsha as supplements, or accompaniments, to the six volume set of textbooks. These prints illustrated the ninety-one short stories in the six volumes. A number of the prints issued were based upon Yoshitoshi's black and white illustrations in the texts, two examples of which are shown below. Each of the full-color prints carries the same title as the textbooks, 錦絵修身談  (Brocade Prints for Moral Education), along with the volume number, across its top.  The story name, along with its number in the volume it appears in and the page number of the portion of the text it is illustrating appears in a vertical red cartouche.
",,Tsuji Keiji,,,,,21st year of the Meiji era (明治２１),,,,Genre ukiyo-e; Nishiki-e,Format vertical ōban triptych,,,,Collections This Print Art Research Center (ARC) Ritsumeikan University,IHL.1107,IHL.1107,IHL Catalog #1107,,,,Image;StillImage,image/jpeg,ihl-1107.jpg,ihl-1107_th.jpg,,ihl-1107_sm.jpg,
ihl-1108,,,,"The Ninety-Two Oban-size Color Prints Issued in 1888 As Supplements to the Textbooks ""Nishiki-e shūshindan""  錦絵修身談 ",虚母孝子をして李樹を守らしむ「八丁」,"錦絵修身談 (Brocade Prints for Moral Education); Volume 2, story 7",21st year of the Meiji era (明治２１),1888,reprint 1888,"Kobayashi Toshimitsu 小林年光
(active 1877–1904); Tominaga Toshichika 富永年親 (1847-?) ",年参写 Toshimitsu utsushi; 年親校 Toshichika-kō,,"In October 1883 a set of ninety-two full-color oban-size prints designed by students of Yoshitoshi were published by Tsuji Keiji and his publishing house Fukyūsha as supplements, or accompaniments, to the six volume set of textbooks. These prints illustrated the ninety-one short stories in the six volumes. A number of the prints issued were based upon Yoshitoshi's black and white illustrations in the texts, two examples of which are shown below. Each of the full-color prints carries the same title as the textbooks, 錦絵修身談  (Brocade Prints for Moral Education), along with the volume number, across its top.  The story name, along with its number in the volume it appears in and the page number of the portion of the text it is illustrating appears in a vertical red cartouche.
",,Tsuji Keiji,,,,,21st year of the Meiji era (明治２１),,,,Genre ukiyo-e; Nishiki-e,Format vertical ōban triptych,,,,Collections This Print Art Research Center (ARC) Ritsumeikan University,IHL.1108,IHL.1108,IHL Catalog #1108,,,,Image;StillImage,image/jpeg,ihl-1108.jpg,ihl-1108_th.jpg,,ihl-1108_sm.jpg,
ihl-1248,,Record for folder only,CN Complete,"The Folder Containing the Prints series <Then, Mr. Ay-o got drunk by the Rainbow> <Very popular story>  <Event for prints> <Rainbow glass> by Ay-O, 1974
","Folder for the Very Popular Story, Event for Prints, Rainbow Glass, Than, Mr. Ay-O got Drunk by the Rainbow","Very Popular Story, Event for Prints, Rainbow Glass, Then, Mr. Ay-O Got Drunk by the Rainbow",Feb-74,1974,Feb-74,Ay-O 靉嘔 (b. 1931),Ay-O (light blue pencil), ,"The folder for the 38 prints created by Ay-O in 1974.  The 38 prints show the progression of an ""EVENT"", with only the artist in attendance, during which drinks are poured and Ay-O gets drunk. None of the prints in the series are titled, although most of the individual prints are annotated in pencil in the top left corner with their sequence number in the 38 print series.
",54 of an edition of 75, , ,"Printer 助田憲亮 Sukeda Kenryō; plate making and color separationKomine Co., Ltd.",,,,Impression excellent,Impression excellent,Condition excellent,Genre modern print - serigraph,n.a.,n.a.,n.a.,"Reference Literature Over the Rainbow: Ay-O Retrospective 1950-2006, Fukui Fine Arts Museum, 2006, p. 57-64;Ay-O’s Rainbow Prints Catalogue Raisonne 1954-1979, compiled by Sadjiro Kubo, Sobun-sha, 1980, p. 122-128.","Collections This Print Museum of Modern Art 1.1976.1-38 (complete portfolio); Free/Sackler, The Smithsonian's Museum of Asian Art S1987.996.1-38 (complete portfolio)",IHL.1248,IHL.1248,IHL Catalog #1248,,,,Image;StillImage,image/jpeg,ihl-1248.jpg,ihl-1248_th.jpg,,ihl-1248_sm.jpg,
ihl-1249,,,,"untitled - marked ""5"" in pencil",Print 5,"Very Popular Story, Event for Prints, Rainbow Glass, Then, Mr. Ay-O Got Drunk by the Rainbow",Feb-74,1974,Feb-74,Ay-O 靉嘔 (b. 1931), Ay-O (pencil lower right),,"Print 5 in a series of thirty-eight 3M color-in-color magnetic process prints (the entire series issued in a portfolio by the Nantenshi Gallery, Tokyo) created by the artist in 1974. The thirty-eight prints show the progression of an ""EVENT"", with only the artist in attendance, during which drinks are poured and Ay-O gets drunk. ",54 of an edition of 75,"Nantenshi Gallery, Tokyo",,"Printer 助田憲亮 Sukeda Kenryō; plate making and color separationKomine Co., Ltd.",,,1974,Impression excellent,Impression excellent,Condition excellent,Genre modern print - serigraph,,H x W Image 10 7/8 x 8 1/2 in. (27.6 x 21.6 cm),H x W Paper 16 x 12 1/8 in. (40.6 x 30.8 cm),"Reference Literature Over the Rainbow: Ay-O Retrospective 1950-2006, Fukui Fine Arts Museum, 2006, p. 57-64;Ay-O’s Rainbow Prints Catalogue Raisonne 1954-1979, compiled by Sadjiro Kubo, Sobun-sha, 1980, p. 122-128.","Collections This Print Museum of Modern Art 1.1976.1-38 (complete portfolio); Free/Sackler, The Smithsonian's Museum of Asian Art S1987.996.1-38 (complete portfolio)",IHL.1249,IHL.1249,IHL Catalog #1249,,,,Image;StillImage,image/jpeg,ihl-1249.jpg,ihl-1249_th.jpg,,ihl-1249_sm.jpg,https://pages.uoregon.edu/jsmacollections/home/artists/ay-o-b-1931/print-5-from-the-series-very-popu-5233d17ebcf503af.html
ihl-1250,,,,"untitled - marked "" 11 10"" in pencil (print is #11 in the series, not #10)",Print 11,"Very Popular Story, Event for Prints, Rainbow Glass, Then, Mr. Ay-O Got Drunk by the Rainbow",Feb-74,1974,Feb-74,Ay-O 靉嘔 (b. 1931), Ay-O (pencil lower right),,"Print 11 in a series of thirty-eight 3M color-in-color magnetic process prints (the entire series issued in a portfolio by the Nantenshi Gallery, Tokyo) created by the artist in 1974. The thirty-eight prints show the progression of an ""EVENT"", with only the artist in attendance, during which drinks are poured and Ay-O gets drunk. ","54 of an edition of 75. Marked ""11 10"" in pencil (print is #11 in the series, not #10). ","Nantenshi Gallery, Tokyo",,"Printer 助田憲亮 Sukeda Kenryō; plate making and color separationKomine Co., Ltd.",,,1974,Impression excellent,Colors excellent,Condition excellent,Genre modern print - serigraph,,H x W Image 10 7/8 x 8 1/2 in. (27.6 x 21.6 cm),H x W Paper 16 x 12 1/8 in. (40.6 x 30.8 cm),"Reference Literature Over the Rainbow: Ay-O Retrospective 1950-2006, Fukui Fine Arts Museum, 2006, p. 57-64;Ay-O’s Rainbow Prints Catalogue Raisonne 1954-1979, compiled by Sadjiro Kubo, Sobun-sha, 1980, p. 122-128.","Collections This Print Museum of Modern Art 1.1976.1-38 (complete portfolio); Free/Sackler, The Smithsonian's Museum of Asian Art S1987.996.1-38 (complete portfolio)",IHL.1250,IHL.1250,IHL Catalog #1250,,,,Image;StillImage,image/jpeg,ihl-1250.jpg,ihl-1250_th.jpg,,ihl-1250_sm.jpg,https://pages.uoregon.edu/jsmacollections/home/artists/ay-o-b-1931/print-11-from-the-series-very-pop-19913fbe92d936c8.html
ihl-1251,,,,"untitled - marked ""22"" in pencil",Print 22,"Very Popular Story, Event for Prints, Rainbow Glass, Then, Mr. Ay-O Got Drunk by the Rainbow",Feb-74,1974,Feb-74,Ay-O 靉嘔 (b. 1931), Ay-O (pencil lower right),,"Print 22 in a series of thirty-eight 3M color-in-color magnetic process prints (the entire series issued in a portfolio by the Nantenshi Gallery, Tokyo) created by the artist in 1974. The thirty-eight prints show the progression of an ""EVENT"", with only the artist in attendance, during which drinks are poured and Ay-O gets drunk. ",54 of an edition of 75,"Nantenshi Gallery, Tokyo",,"Printer 助田憲亮 Sukeda Kenryō; plate making and color separationKomine Co., Ltd.",,,1974,Impression excellent,Colors excellent,Condition excellent,Genre modern print - serigraph,,H x W Image 10 7/8 x 8 1/2 in. (27.6 x 21.6 cm),H x W Paper 16 x 12 1/8 in. (40.6 x 30.8 cm),"Reference Literature Over the Rainbow: Ay-O Retrospective 1950-2006, Fukui Fine Arts Museum, 2006, p. 57-64;Ay-O’s Rainbow Prints Catalogue Raisonne 1954-1979, compiled by Sadjiro Kubo, Sobun-sha, 1980, p. 122-128.","Collections This Print Museum of Modern Art 1.1976.1-38 (complete portfolio); Free/Sackler, The Smithsonian's Museum of Asian Art S1987.996.1-38 (complete portfolio)",IHL.1251,IHL.1251,IHL Catalog #1251,,,,Image;StillImage,image/jpeg,ihl-1251.jpg,ihl-1251_th.jpg,,ihl-1251_sm.jpg,https://pages.uoregon.edu/jsmacollections/home/artists/ay-o-b-1931/print-22-from-the-series-very-pop-75b99bb29cb9c292.html
ihl-1252,,,,"untitled - marked "" 33 31"" in pencil (print is #33 in the series, not #31)",Print 33,"Very Popular Story, Event for Prints, Rainbow Glass, Then, Mr. Ay-O Got Drunk by the Rainbow",Feb-74,1974,Feb-74,Ay-O 靉嘔 (b. 1931), Ay-O (pencil lower right),,"Print 33 in a series of thirty-eight 3M color-in-color magnetic process prints (the entire series issued in a portfolio by the Nantenshi Gallery, Tokyo) created by the artist in 1974. The thirty-eight prints show the progression of an ""EVENT"", with only the artist in attendance, during which drinks are poured and Ay-O gets drunk. ","54 of an edition of 75. Marked "" 33 31"" in pencil (print is #33 in the series, not #31)","Nantenshi Gallery, Tokyo",,"Printer 助田憲亮 Sukeda Kenryō; plate making and color separationKomine Co., Ltd.",,,1974,Impression excellent,Colors excellent,Condition excellent,Genre modern print - serigraph,,H x W Image 10 7/8 x 8 1/2 in. (27.6 x 21.6 cm),H x W Paper 16 x 12 1/8 in. (40.6 x 30.8 cm),"Reference Literature Over the Rainbow: Ay-O Retrospective 1950-2006, Fukui Fine Arts Museum, 2006,p. 57-64;Ay-O’s Rainbow Prints Catalogue Raisonne 1954-1979, compiled by Sadjiro Kubo, Sobun-sha, 1980, p. 122-128.","Collections This Print Museum of Modern Art 1.1976.1-38 (complete portfolio); Free/Sackler, The Smithsonian's Museum of Asian Art S1987.996.1-38 (complete portfolio)",IHL.1252,IHL.1252,IHL Catalog #1252,,,,Image;StillImage,image/jpeg,ihl-1252.jpg,ihl-1252_th.jpg,,ihl-1252_sm.jpg,https://pages.uoregon.edu/jsmacollections/home/artists/ay-o-b-1931/print-33-from-the-series-very-pop-73dca3b16f29b190.html
ihl-1253,,,,"untitled - the last print, #38, in the series",Print 38,"Very Popular Story, Event for Prints, Rainbow Glass, Then, Mr. Ay-O Got Drunk by the Rainbow",Feb-74,1974,Feb-74,Ay-O 靉嘔 (b. 1931), Ay-O (pencil lower right),,"Print 38, the final print in a series of thirty-eight 3M color-in-color magnetic process prints (the entire series issued in a portfolio by the Nantenshi Gallery, Tokyo) created by the artist in 1974. The thirty-eight prints show the progression of an ""EVENT"", with only the artist in attendance, during which drinks are poured and Ay-O gets drunk. ",54 of an edition of 75,"Nantenshi Gallery, Tokyo",,"Printer 助田憲亮 Sukeda Kenryō; plate making and color separationKomine Co., Ltd.",,,1974,Impression excellent,Colors excellent,Condition excellent,Genre modern print - serigraph,,H x W Image 10 7/8 x 8 1/2 in. (27.6 x 21.6 cm),H x W Paper 16 x 12 1/8 in. (40.6 x 30.8 cm),"Reference Literature Over the Rainbow: Ay-O Retrospective 1950-2006, Fukui Fine Arts Museum, 2006,p. 57-64;Ay-O’s Rainbow Prints Catalogue Raisonne 1954-1979, compiled by Sadjiro Kubo, Sobun-sha, 1980, p. 122-128.","Collections This Print Museum of Modern Art 1.1976.1-38 (complete portfolio); Free/Sackler, The Smithsonian's Museum of Asian Art S1987.996.1-38 (complete portfolio)",IHL.1253,IHL.1253,IHL Catalog #1253,,,,Image;StillImage,image/jpeg,ihl-1253.jpg,ihl-1253_th.jpg,,ihl-1253_sm.jpg,https://pages.uoregon.edu/jsmacollections/home/artists/ay-o-b-1931/print-38-from-the-series-very-pop-876edac8d2bec41a.html
ihl-1254,,,,"untitled - marked ""6"" in pencil",Print 6,"Very Popular Story, Event for Prints, Rainbow Glass, Then, Mr. Ay-O Got Drunk by the Rainbow",Feb-74,1974,Feb-74,Ay-O 靉嘔 (b. 1931), Ay-O (pencil lower right),,"Print 6 in a series of thirty-eight 3M color-in-color magnetic process prints (the entire series issued in a portfolio by the Nantenshi Gallery, Tokyo) created by the artist in 1974. The thirty-eight prints show the progression of an ""EVENT"", with only the artist in attendance, during which drinks are poured and Ay-O gets drunk. ",54 of an edition of 75,"Nantenshi Gallery, Tokyo",,"Printer 助田憲亮 Sukeda Kenryō; plate making and color separationKomine Co., Ltd.",,,1974,Impression excellent,Colors excellent,Condition excellent,Genre modern print - serigraph,,H x W Image 10 7/8 x 8 1/2 in. (27.6 x 21.6 cm),H x W Paper 16 x 12 1/8 in. (40.6 x 30.8 cm),"Reference Literature Over the Rainbow: Ay-O Retrospective 1950-2006, Fukui Fine Arts Museum, 2006, p. 57-64;Ay-O’s Rainbow Prints Catalogue Raisonne 1954-1979, compiled by Sadjiro Kubo, Sobun-sha, 1980, p. 122-128.","Collections This Print Museum of Modern Art 1.1976.1-38 (complete portfolio); Free/Sackler, The Smithsonian's Museum of Asian Art S1987.996.1-38 (complete portfolio)",IHL.1254,IHL.1254,IHL Catalog #1254,,,,Image;StillImage,image/jpeg,ihl-1254.jpg,ihl-1254_th.jpg,,ihl-1254_sm.jpg,https://pages.uoregon.edu/jsmacollections/home/artists/ay-o-b-1931/print-6-from-the-series-very-popu-39cb70c330c0e75b.html
ihl-1255,,,,Ichikawa Danjūrō IX asMusashibō Benkeiin the play Kanjinchō九卋市川団十郎 武蔵坊弁慶 勧進帳,Ichikawa Danjūrō IX asMusashibō Benkeiin the play Kanjinchō九卋市川団十郎 武蔵坊弁慶 勧進帳,The Kabuki Eighteen (Kabuki Jūhachiban)歌舞伎十八番,"May 20, 1896 (Meiji 29) 明治二十九年五月廿日",1896,"May 20, 1896 (Meiji 29) 明治二十九年五月廿日",Torii Kiyosada (1844-1901) and Torii Kiyotada VII (1875-1941),right-most :Torii Kiyosada ga 鳥居清貞画 followed by 画楽 Chōhō sealleft-most :Tadakiyo ga 忠清画followed by tripod-shapedseal,"as shown above:画楽 Chōhōright, beneath signature - Tadakiyo tripod-shaped left, beneath signature",Ichikawa Danjūrō IX asMusashibō Benkeiin the play Kanjinchō九卋市川団十郎 武蔵坊弁慶 勧進帳,Miscellaneous embossing throughout,長谷川寿美 Hasegawa Sumi (appearing in left margin) [Marks: seal 25-406 長谷川寿美; ref. 102]address: Tokyo Asakusa Imadochō 59-banchi,,Printer 楷工大亀Surikō Ōkame (see above cartouche),,,"May 20, 1896 (Meiji 29) 明治二十九年五月廿日",Impression excellent,Colors excellent,Condition good - not backed; light toning and soiling; minor handling creases,Genre ukiyo-e; yakusha-e (役者絵),Format vertical ōban,,H x W Paper 15 1/4 x 10 in. (38.7 x 25.4 cm),,"Collections This Print Museum of Fine Arts, Boston RES.53.12; Tokyo Metropolitan Library 5721-C8-19; Tsubouchi Memorial Theatre Museum of Waseda University 201-0141 and 201-0180 and 201-0199 and 201-0989; Edo Tokyo Museum 94202531",IHL.1255,IHL.1255,IHL Catalog#1255,,,,Image;StillImage,image/jpeg,ihl-1255.jpg,ihl-1255_th.jpg,,ihl-1255_sm.jpg,
ihl-1109,,,,"The Ninety-Two Oban-size Color Prints Issued in 1888 As Supplements to the Textbooks ""Nishiki-e shūshindan""  錦絵修身談 ",Duty of the servant to suffer privation with his master 義僕主と艱苦を共にす「卅一丁」,"錦絵修身談 (Brocade Prints for Moral Education); Volume 5, story 19",21st year of the Meiji era (明治２１),1888,reprint 1888,年充？possibly Kobayashi Toshimitsu; 富永年親 Tominaga Toshichika,高斎画 Kōsai-ga; とし親校 Toshichika-kō,,"In October 1883 a set of ninety-two full-color oban-size prints designed by students of Yoshitoshi were published by Tsuji Keiji and his publishing house Fukyūsha as supplements, or accompaniments, to the six volume set of textbooks. These prints illustrated the ninety-one short stories in the six volumes. A number of the prints issued were based upon Yoshitoshi's black and white illustrations in the texts, two examples of which are shown below. Each of the full-color prints carries the same title as the textbooks, 錦絵修身談  (Brocade Prints for Moral Education), along with the volume number, across its top.  The story name, along with its number in the volume it appears in and the page number of the portion of the text it is illustrating appears in a vertical red cartouche.
",,Tsuji Keiji,,,,,21st year of the Meiji era (明治２１),,,,Genre ukiyo-e; Nishiki-e,Format vertical ōban triptych,,,,Collections This Print Art Research Center (ARC) Ritsumeikan University,IHL.1109,IHL.1109,IHL Catalog #1109,,,,Image;StillImage,image/jpeg,ihl-1109.jpg,ihl-1109_th.jpg,,ihl-1109_sm.jpg,
ihl-1257,,,,"(Description) Bandō Hikosaburō V as Takegawa竹川(Note: the actor's name is not given on the print, only the role played.)","(Description) Bandō Hikosaburō V as Takegawa竹川(Note: the actor's name is not given on the print, only the role played.)",Matches for Famous Places in EdoEdo meisho awase no uchi 江戸名所合之内,August 1867 慶応08 (aratame date seal卯八改),1867,August 1867 慶応08 (aratame date seal卯八改),Toyohara Kunichika 豊原国周 (1835–1900),国周筆Kunichika hitsu,toshidamabelow signature,"Title (Description) Bandō Hikosaburō V as Takegawa竹川(Note: the actor's name is not given on the print, only the role played.)",,"Masudaya Ginjirō増田屋銀次郎seal reading:Hanmoto, Masudaya, Shiba Shinmeimae板元 増田屋芝神 明前[Marks: seal 24-061; pub. ref. 304]",彫工舛吉 Hori Takichi (Ōtaya Takichi),,,,August 1867 慶応08 (aratame date seal卯八改),Impression excellent,Colors excellent,Condition excellent - slight toning,Genre ukiyo-e; nigao-e; yakusha-e,Format vertical ōban,H x W Image 13 7/8 x 9 1/2 in. (35.2 x 24.1 cm),H x W Paper 14 3/16 x 9 5/8 in. (36 x 24.4 cm),Literature,"Collections This Print The Tsubouchi Memorial Theatre Museum of Waseda University 007-0372; Museum of Fine Arts, Boston 11.40496",IHL.1257,IHL.1257,IHL Catalog #1257,,,,Image;StillImage,image/jpeg,ihl-1257.jpg,ihl-1257_th.jpg,,ihl-1257_sm.jpg,
ihl-1258,,,,"(Description) unknown actor as Saburō三郎(Note: the actor's name is not given on the print, only the role played.)","(Description) unknown actor as Saburō三郎(Note: the actor's name is not given on the print, only the role played.)",Matches for Famous Places in EdoKōto meisho awase no uchi 江都名所合之内,August 1867 慶応08 (aratame date seal卯八改),1867,August 1867 慶応08 (aratame date seal卯八改),Toyohara Kunichika 豊原国周 (1835–1900),国周筆Kunichika hitsu,toshidamabelow signature,"Title (Description) unknown actor as Saburō三郎(Note: the actor's name is not given on the print, only the role played.)",,"Masudaya Ginjirō増田屋銀次郎seal reading:Hanmoto, Masudaya, Shiba Shinmeimae板元 増田屋芝神 明前[Marks: seal 24-061; pub. ref. 304]",彫工舛吉 Hori Takichi (Ōtaya Takichi),,,,August 1867 慶応08 (aratame date seal卯八改),Impression good,Colors excellent,Condition excellent - slight toning,Genre ukiyo-e; nigao-e; yakusha-e,Format vertical ōban,H x W Image 14 x 9 1/2 in. (35.6 x 24.1 cm),H x W Paper 14 3/16 x 9 1/2 in. (36 x 24.1 cm),Literature,"Collections This Print The Tsubouchi Memorial Theatre Museum of Waseda University 007-0309, 007-0394",IHL.1258,IHL.1258,IHL Catalog #1258,,,,Image;StillImage,image/jpeg,ihl-1258.jpg,ihl-1258_th.jpg,,ihl-1258_sm.jpg,
ihl-1259,,,,"(Description) unidentified actor as Fusanosuke 房之介 (Note: the actor's name is not given on the print, only the role played.)","(Description) unidentified actor as Fusanosuke 房之介 (Note: the actor's name is not given on the print, only the role played.)",Matches for Famous Places in EdoEdo meisho awase no uchi 江戸名所合之内,August 1867 慶応08 (aratame date seal卯八改),1867,August 1867 慶応08 (aratame date seal卯八改),Toyohara Kunichika 豊原国周 (1835–1900),国周筆Kunichika hitsu,toshidamabelow signature,"Title (Description) unidentified actor as Fusanosuke 房之介 (Note: the actor's name is not given on the print, only the role played.)",,"Masudaya Ginjirō増田屋銀次郎seal reading:Hanmoto, Masudaya, Shiba Shinmeimae板元 増田屋芝神 明前[Marks: seal 24-061; pub. ref. 304]",彫工舛吉 Hori Takichi (Ōtaya Takichi),,,,August 1867 慶応08 (aratame date seal卯八改),Impression excellent,Colors excellent,Condition excellent - slight toning,Genre ukiyo-e; nigao-e; yakusha-e,Format vertical ōban,H x W Image 14 3/16 x 9 5/8 in. (36 x 24.4 cm),H x W Paper 14 3/16 x 9 5/8 in. (36 x 24.4 cm),Literature,Collections This Print The Tsubouchi Memorial Theatre Museum of Waseda University 007-0387,IHL.1259,IHL.1259,IHL Catalog #1259,,,,Image;StillImage,image/jpeg,ihl-1259.jpg,ihl-1259_th.jpg,,ihl-1259_sm.jpg,
ihl-1111,,,,"Autumn at Lake Towada 十和田湖の秋 (as titled by The National Museum of Modern Art, Tokyo)","Autumn at Lake Towada 十和田湖の秋 (as titled by The National Museum of Modern Art, Tokyo)",n/a,September 1935 (Shōwa 10),1935,September 1935 (Shōwa 10),Yasui Sōtarō 安井曾太郎 (1888–1955), unsigned,Sō曾,"Title Autumn at Lake Towada 十和田湖の秋 (as titled by The National Museum of Modern Art, Tokyo)",,"Kyūryūdō Hassho　求龍堂發售[発書 alt.]　きゅうりゅうどうはっしょ And from the always helpful Asian art historian Lynn Katsumoto, the following comments on Kyūryūdō. ""They are an old publishing house, specializing in art. Founded in 1923, sounds like they were a gallery, selling art. Oh, according to the Wikipedia page, the name was meant to sound like the German ""curieux"" where you could always find ""the new."" This is so interesting! It goes on to say that the龍 (りゅ う; now written竜) - which means 'dragon' - was chosen for its old associations with the magical creature who could fly across the seas; in this case, to find the finest art publications from the West. Then they started publishing stuff too, and besides books, publishexhibitioncatalogues, calendars, posters, tickets, etc.""",,,,,September 1935 (Shōwa 10),,Colors excellent,Condition excellent - light handling creases; remnants of mounting tape verso top and sides,Genre sōsaku hanga; moku hanga,Format dai-ōban,H x W Image 11 3/16 x 15 3/4 in. (28.4 x 40 cm),H x W Paper 12 5/8 x 17 1/2 in. (32.1 x 44.5 cm),Reference Literature,"Collections This Print The National Museum of Modern Art, Tokyo P01540",IHL.1111,IHL.1111,IHL Catalog #1111,,,,Image;StillImage,image/jpeg,ihl-1111.jpg,ihl-1111_th.jpg,,ihl-1111_sm.jpg,
ihl-1112,,,CN Complete,Backlit Fuji逆光富士,Backlit Fuji逆光富士,n.a.,"undated but likely after 1980 - While Miyashita did not his prints, this print was likely created post-1980 based upon the paper not having the artist's ""TM"" watermark seal on the paper - a hallmark of his pre-1980 prints.",n.d.,"undated but likely after 1980 - While Miyashita did not his prints, this print was likely created post-1980 based upon the paper not having the artist's ""TM"" watermark seal on the paper - a hallmark of his pre-1980 prints.",Miyashita Tokio 宮下登喜雄 (1930–2011), TMiyashita in pencil,not sealed,"Not quite a ""red Fuji,"" Miyashita gives us a view of Fuji at dusk, with the mountain taking on a deep purple hue.  One of Miyashita's post-1980s prints1, displaying a move back towards realism from the abstraction of his works created in the 1970s.  This print is very similar to the artist's 2002 print Daybreak at Mt. Fuji, shown below, and featured in The Library of Congress online exhibition On the Cutting Edge, Contemporary Japanese Prints from the 50th College Women's Association of Japan Print Show.
",n.a.,artist,n.a.,n.a.,,,"undated but likely after 1980 - While Miyashita did not his prints, this print was likely created post-1980 based upon the paper not having the artist's ""TM"" watermark seal on the paper - a hallmark of his pre-1980 prints.",Impression excellent,Colors excellent,Condition excellent - several pin holes (possible drying holes),Genre sōsaku hanga,n.a.,H x W Image 5 3/8 x 7 5/8 in. (13.7 x 13.4 cm),H x W Paper 9 1/2 x 13 in. (24.1 x 33 cm),n.a.,n.a.,IHL.1112,IHL.1112,IHL Catalog #1112,,,,Image;StillImage,image/jpeg,ihl-1112.jpg,ihl-1112_th.jpg,,ihl-1112_sm.jpg,
ihl-1262,,,,モダン寺 (modan-dera),モダン寺 (modan-dera),神戸百景 Kobe HyakkeiOne Hundred Scenes of Kobe,originally 1952-1953,1952,originally 1952-1953,Kawanishi Hide 川西英 (1894-1965), Hide (printed),"artist's ""Hide"" seal",Title モダン寺 (modan-dera),,the artist - self-published,,Printer self-printed by artist,,,originally 1952-1953,Impression excellent,Colors excellent,Condition good - small paper imperfection lower right; slightly trimmed,Genre sōsaku hanga,,H x W Image same as paper size above,H x W Paper 3 7/16 x 2 7/8 in. (8.7 x 7.3 cm),Reference Literature,Collections This Print,IHL.1262,IHL.1262,IHL Catalog #1262,,,,Image;StillImage,image/jpeg,ihl-1262.jpg,ihl-1262_th.jpg,,ihl-1262_sm.jpg,https://pages.uoregon.edu/jsmacollections/home/artists/kawanishi-hide-1894-1965/modan-dera-no-66-from-the-series--6fee16eae7088b5c.html
ihl-1113,,,CN Complete,Dockyard 造船所,Dockyard 造船所,n.a.,"undated but likely after 1980 - While Miyashita did not his prints, this print was likely created post-1980 based upon the paper not having the artist's ""TM"" watermark seal on the paper - a hallmark of his pre-1980 prints.",n.d.,"undated but likely after 1980 - While Miyashita did not his prints, this print was likely created post-1980 based upon the paper not having the artist's ""TM"" watermark seal on the paper - a hallmark of his pre-1980 prints.",Miyashita Tokio 宮下登喜雄 (1930–2011), Tokio Miyashita in pencil,not sealed,"A ship being loaded with freight at a dockyard.  One of Miyashita's post-1980s prints1, displaying a move back towards realism from the abstraction of his works created in the 1970s. ",n.a.,artist,n.a.,n.a.,,,"undated but likely after 1980 - While Miyashita did not his prints, this print was likely created post-1980 based upon the paper not having the artist's ""TM"" watermark seal on the paper - a hallmark of his pre-1980 prints.",Impression excellent,Colors excellent,Condition excellent - several pin holes (possible drying holes),Genre sōsaku hanga,n.a.,H x W Image 8 1/4 x 11 5/8 in. (13.7 x 13.4 cm),H x W Paper 10 x 13 5/8 in. (24.1 x 33 cm),n.a.,n.a.,IHL.1113,IHL.1113,IHL Catalog #1113,,,,Image;StillImage,image/jpeg,ihl-1113.jpg,ihl-1113_th.jpg,,ihl-1113_sm.jpg,
